name,population,latitude,longitude,state,country,status
Sydney,4698656,-33.86876724,151.2096996,New South Wales,Australia,Admin 1 capital
Melbourne,4585537,-37.82491347,144.971497,Victoria,Australia,Admin 1 capital
Brisbane,2287896,-27.46901699,153.0248201,Queensland,Australia,Admin 1 capital
Perth,2043762,-31.95017579,115.8609427,Western Australia,Australia,Admin 1 capital
Adelaide,1245011,-34.92854526,138.6006544,South Australia,Australia,Admin 1 capital
Gold Coast,607665,-27.97366449,153.4003741,Queensland,Australia,
Canberra,452670,-35.28126034,149.1291696,Australian Capital Territory,Australia,National capital; Admin 1 capital
Newcastle,348539,-32.92881129,151.7775099,New South Wales,Australia,
Central Coast,325255,-33.4222446,151.3416207,New South Wales,Australia,
Sunshine Coast,284131,-26.65285216,153.0818935,Queensland,Australia,
Wollongong,280153,-34.42758206,150.8930836,New South Wales,Australia,
Hobart,197451,-42.88209127,147.3271943,Tasmania,Australia,Admin 1 capital
Geelong,180239,-38.14994599,144.3617692,Victoria,Australia,
Townsville,173724,-19.25888245,146.8170373,Queensland,Australia,
Cairns,153181,-16.90482234,145.7610334,Queensland,Australia,
Darwin,122207,-12.46186002,130.8437372,Northern Territory,Australia,Admin 1 capital
Toowoomba,108398,-27.5598157,151.9506786,Queensland,Australia,
Ballarat,105348,-37.5633419,143.8417196,Victoria,Australia,
Bendigo,100649,-36.75706367,144.2793911,Victoria,Australia,
Maitland,89597,-32.73867058,151.5493196,New South Wales,Australia,
Launceston,80943,-41.43351073,147.1443726,Tasmania,Australia,
Mackay,80455,-21.14316609,149.1822113,Queensland,Australia,
Melton,76346,-37.6940186,144.580835,Victoria,Australia,
Bunbury,75196,-33.32502898,115.6397323,Western Australia,Australia,
Tweed Heads,63725,-28.17848293,153.5354289,New South Wales,Australia,
Rockhampton,63151,-23.37859653,150.5100844,Queensland,Australia,
Hervey Bay,57722,-25.28040503,152.8311104,Queensland,Australia,
Albury,53674,-36.07374266,146.913475,New South Wales,Australia,
Bundaberg,52370,-24.86692971,152.3509174,Queensland,Australia,
Wagga Wagga,49686,-35.10819844,147.3598501,New South Wales,Australia,
Port Macquarie,47693,-31.45523472,152.8935974,New South Wales,Australia,
