name,population,latitude,longitude,state,country,status
Wien,1931593,48.2081743,16.3738189,Wien,Austria,National capital
Graz,292630,47.070714,15.439504,Steiermark,Austria,Admin 1 capital
Linz,207247,48.30694,14.28583,Oberösterreich,Austria,Admin 1 capital
Salzburg,155331,47.80949,13.05501,Salzburg,Austria,Admin 1 capital
Innsbruck,130585,47.2692124,11.4041024,Tirol,Austria,Admin 1 capital
Klagenfurt am Wörthersee,102618,46.6364598,14.3122246,Kärnten,Austria,Admin 1 capital
Villach,53968,46.60856,13.85062,Kärnten,Austria,
Dornbirn,50360,47.4124,9.74379,Vorarlberg,Austria,
Wiener Neustadt,47106,47.80279,16.23318,Niederösterreich,Austria,
St. Pölten,42265,48.20353,15.63817,Niederösterreich,Austria,Admin 1 capital
Steyr,37879,48.05009,14.41827,Oberösterreich,Austria,
Feldkirch,34998,47.24128,9.6019,Vorarlberg,Austria,
Bregenz,28972,47.50075,9.74231,Vorarlberg,Austria,Admin 1 capital
Baden,25783,48.00214,16.23091,Niederösterreich,Austria,
Lustenau,23579,47.4208426,9.6594464,Vorarlberg,Austria,
Mödling,20531,48.08255,16.2869,Niederösterreich,Austria,
Wels,17158,48.16542,14.03664,Oberösterreich,Austria,
Hohenems,16946,47.3608313,9.6867191,Vorarlberg,Austria,
Stockerau,16039,48.3861094,16.2156966,Niederösterreich,Austria,
Klosterneuburg,15953,48.3098656,16.323772,Niederösterreich,Austria,
Telfs,15608,47.3070652,11.0681692,Tirol,Austria,
Amstetten,15521,48.12502,14.86934,Niederösterreich,Austria,
Perchtoldsdorf,14886,48.1205386,16.2692452,Niederösterreich,Austria,
Schwechat,14829,48.1409268,16.4763778,Niederösterreich,Austria,
Krems an der Donau,14549,48.40999,15.60384,Niederösterreich,Austria,
Wörgl,14308,47.4856098,12.0649466,Tirol,Austria,
Bludenz,13965,47.15991,9.80821,Vorarlberg,Austria,
Schwaz,13883,47.3484102,11.707729,Tirol,Austria,
Hard,13793,47.4849228,9.6936632,Vorarlberg,Austria,
Hall in Tirol,13695,47.279765,11.4869278,Tirol,Austria,
Korneuburg,13565,48.34472,16.33149,Niederösterreich,Austria,
Gmunden,13251,47.91839,13.79933,Oberösterreich,Austria,
Spittal an der Drau,12617,46.79968,13.4928,Kärnten,Austria,
Tulln an der Donau,12492,48.3314949,16.060737,Niederösterreich,Austria,
Ried im Innkreis,12432,48.21272,13.49272,Oberösterreich,Austria,
Brunn am Gebirge,12045,48.108956,16.2853875,Niederösterreich,Austria,
Rankweil,12026,47.2707037,9.64293,Vorarlberg,Austria,
Gänserndorf,11950,48.34067,16.71754,Niederösterreich,Austria,
Götzis,11922,47.3342869,9.6452461,Vorarlberg,Austria,
Traun,11809,48.2211299,14.2368043,Oberösterreich,Austria,
Lienz,11588,46.82769,12.76272,Tirol,Austria,
Knittelfeld,11477,47.21595,14.82719,Steiermark,Austria,
Strasshof an der Nordbahn,11361,48.3162908,16.6361849,Niederösterreich,Austria,
Neunkirchen,11152,47.72607,16.08121,Niederösterreich,Austria,
Imst,10919,47.24013,10.73954,Tirol,Austria,
St. Veit an der Glan,10508,46.76748,14.36151,Kärnten,Austria,
Lauterach,10353,47.4744377,9.7302279,Vorarlberg,Austria,
Kufstein,10110,47.58237,12.16275,Tirol,Austria,
Enns,9861,48.2130899,14.4752222,Oberösterreich,Austria,
Purkersdorf,9853,48.2089991,16.174548,Niederösterreich,Austria,
Laakirchen,9790,47.9787283,13.8204532,Oberösterreich,Austria,
St. Johann in Tirol,9750,47.5221901,12.4308125,Tirol,Austria,
Eisenstadt,9537,47.84637,16.52796,Burgenland,Austria,Admin 1 capital
Voitsberg,9455,47.043268,15.153633,Steiermark,Austria,
Weiz,9388,47.21717,15.62297,Steiermark,Austria,
St. Valentin,9339,48.1751847,14.5254825,Niederösterreich,Austria,
Wiener Neudorf,9339,48.0853962,16.320342,Niederösterreich,Austria,
Rum,9337,47.2830598,11.4536172,Tirol,Austria,
Guntramsdorf,9144,48.0485033,16.3071196,Niederösterreich,Austria,
Leibnitz,9135,46.79043,15.56207,Steiermark,Austria,
Deutsch-Wagram,9126,48.299052,16.5640125,Niederösterreich,Austria,
Bruck an der Mur,9034,47.40993,15.26861,Steiermark,Austria,
Marchtrenk,8999,48.1907046,14.1202468,Oberösterreich,Austria,
Berndorf,8990,47.9445615,16.1043039,Niederösterreich,Austria,
Saalfelden am Steinernen Meer,8821,47.4340078,12.8353866,Salzburg,Austria,
Wolfurt,8728,47.4674195,9.7500038,Vorarlberg,Austria,
Maria Enzersdorf,8721,48.0963771,16.284748,Niederösterreich,Austria,
Neusiedl am See,8657,47.94736,16.84537,Burgenland,Austria,
Deutschlandsberg,8436,46.81595,15.21338,Steiermark,Austria,
Haid,8391,48.20782,14.24595,Oberösterreich,Austria,
Leoben,8388,47.37639,15.09113,Steiermark,Austria,
Höchst,8244,47.45928,9.6356,Vorarlberg,Austria,
Kitzbühel,8212,47.4492375,12.3925407,Tirol,Austria,
Zirl,8142,47.2742168,11.2386558,Tirol,Austria,
Seiersberg,8139,47.0008401,15.3913763,Steiermark,Austria,
Judenburg,8103,47.16826,14.65811,Steiermark,Austria,
Wattens,8103,47.2947252,11.5899827,Tirol,Austria,
Bad Vöslau,8073,47.9648168,16.213837,Niederösterreich,Austria,
Langenzersdorf,8003,48.3041049,16.3608632,Niederösterreich,Austria,
Landeck,7640,47.14057,10.56558,Tirol,Austria,
Vorchdorf,7602,48.0032901,13.925147,Oberösterreich,Austria,
Trofaiach,7555,47.42587,15.00934,Steiermark,Austria,
Bischofshofen,7552,47.4172124,13.2188864,Salzburg,Austria,
Vösendorf,7499,48.1222795,16.3347827,Niederösterreich,Austria,
Freistadt,7442,48.50217,14.50201,Oberösterreich,Austria,
Zell am See,7441,47.32352,12.79685,Salzburg,Austria,
Oberwart,7422,47.29482,16.19914,Burgenland,Austria,
Kottingbrunn,7388,47.9496783,16.2290581,Niederösterreich,Austria,
Absam,7330,47.2970596,11.5121833,Tirol,Austria,
Ternitz,7297,47.7133047,16.0314764,Niederösterreich,Austria,
Jenbach,7289,47.3918721,11.7775282,Tirol,Austria,
Mattighofen,7239,48.1065993,13.1486611,Oberösterreich,Austria,
Hollabrunn,7215,48.5625696,16.0787228,Niederösterreich,Austria,
Völs,7038,47.253428,11.319922,Tirol,Austria,
