name,population,latitude,longitude,state,country,status
Santa Cruz de la Sierra,1442396,-17.7832785,-63.1791617,Santa Cruz,Bolivia,National capital; Admin 1 capital
El Alto,846880,-16.5265882,-68.1948052,La Paz,Bolivia,
La Paz,758845,-16.4977871,-68.1258403,La Paz,Bolivia,Admin 1 capital
Cochabamba,632013,-17.4040066,-66.1699947,Cochabamba,Bolivia,Admin 1 capital
Oruro,264943,-17.9600579,-67.0932738,Oruro,Bolivia,Admin 1 capital
Sucre,238798,-19.0347466,-65.2666549,Chuquisaca,Bolivia,National capital; Admin 1 capital
Tarija,179561,-21.5446856,-64.723272,Tarija,Bolivia,Admin 1 capital
Potosí,176022,-19.5795322,-65.7564644,Potosí,Bolivia,Admin 1 capital
Sacaba,150110,-17.3996409,-66.0562304,Cochabamba,Bolivia,
Quillacollo,117859,-17.3608491,-66.2836643,Cochabamba,Bolivia,
Montero,107298,-17.3353451,-63.2531895,Santa Cruz,Bolivia,
Trinidad,101628,-14.8279617,-64.9002077,Beni,Bolivia,Admin 1 capital
Riberalta,78773,-11.008876,-66.0553331,Beni,Bolivia,
Warnes,77918,-17.6004406,-63.1634057,Santa Cruz,Bolivia,
La Guardia,74546,-17.8853168,-63.2713507,Santa Cruz,Bolivia,
Viacha,62979,-16.5864902,-68.2343973,La Paz,Bolivia,
Yacuiba,61917,-22.0071123,-63.6767516,Tarija,Bolivia,
Colcapirhua,51990,-17.3868005,-66.2302519,Cochabamba,Bolivia,
Tiquipaya,49473,-17.2898542,-66.2200598,Cochabamba,Bolivia,
Cobija,44120,-11.031504,-68.7730031,Pando,Bolivia,Admin 1 capital
Vinto,41017,-17.3890525,-66.3316641,Cochabamba,Bolivia,
Guayaramerin,35803,-10.8263624,-65.3558954,Beni,Bolivia,
Villazon,35337,-22.0833652,-65.5990655,Potosí,Bolivia,
Yapacani,30939,-17.3967812,-63.9091322,Santa Cruz,Bolivia,
Villamontes,30228,-21.263838,-63.4665921,Tarija,Bolivia,
Bermejo,29564,-22.7317222,-64.3389284,Tarija,Bolivia,
Camiri,28855,-20.0358784,-63.5260722,Santa Cruz,Bolivia,
Tupiza,27463,-21.4400682,-65.7214212,Potosí,Bolivia,
Llallagua,25405,-18.4252612,-66.5727194,Potosí,Bolivia,
San Ignacio de Velasco,23126,-16.3770122,-60.9647778,Santa Cruz,Bolivia,
El Torno,22219,-18.0280981,-63.3662901,Santa Cruz,Bolivia,
Huanuni,20336,-18.2872783,-66.8417094,Oruro,Bolivia,
Ascencion de Guarayos,19974,-15.894395,-63.1864786,Santa Cruz,Bolivia,
Punata,19601,-17.5441806,-65.8403353,Cochabamba,Bolivia,
Cotoca,19482,-17.7510785,-62.9976069,Santa Cruz,Bolivia,
San Julian,19374,-16.9061633,-62.6170048,Santa Cruz,Bolivia,
Achocalla,18722,-16.5727218,-68.1713233,La Paz,Bolivia,
Mineros,18340,-17.121683,-63.2345424,Santa Cruz,Bolivia,
Uyuni,18134,-20.4624733,-66.8240817,Potosí,Bolivia,
San Borja,17520,-14.8595494,-66.7463405,Beni,Bolivia,
Puerto Suarez,16343,-18.9721142,-57.8023848,Santa Cruz,Bolivia,
Portachuelo,14091,-17.351096,-63.3976964,Santa Cruz,Bolivia,
Rurrenabaque,13446,-14.4336335,-67.5180728,Beni,Bolivia,
Caranavi,13299,-15.8352762,-67.5685176,La Paz,Bolivia,
Challapata,12684,-18.8982128,-66.7704489,Oruro,Bolivia,
San Jose de Chiquitos,12486,-17.8466764,-60.7413895,Santa Cruz,Bolivia,
Santa Ana del Yacuma,12191,-13.9216367,-65.2220191,Beni,Bolivia,
Sipe Sipe,11860,-17.4490697,-66.349579,Cochabamba,Bolivia,
Patacamaya,11249,-17.2373184,-67.9150324,La Paz,Bolivia,
Puerto Quijarro,11071,-19.005595,-57.7172159,Santa Cruz,Bolivia,
Robore,10594,-18.3330894,-59.7558143,Santa Cruz,Bolivia,
Vallegrande,10158,-18.487958,-64.1053359,Santa Cruz,Bolivia,
San Ignacio de Moxos,10054,-14.9955904,-65.6405265,Beni,Bolivia,
Concepcion,9915,-16.13517,-62.0240553,Santa Cruz,Bolivia,
Pailon,9850,-17.6633082,-62.7127449,Santa Cruz,Bolivia,
Achacachi,9302,-16.0470656,-68.685343,La Paz,Bolivia,
Monteagudo,9135,-19.8086416,-63.9580185,Chuquisaca,Bolivia,
Uncia,8902,-18.4690907,-66.5600524,Potosí,Bolivia,
Cliza,8518,-17.5939544,-65.9310315,Cochabamba,Bolivia,
Santa Fe de Yapacani,8454,-17.3932261,-63.8274245,Santa Cruz,Bolivia,
Ivirgarzama,8255,-17.0372807,-64.8617401,Cochabamba,Bolivia,
Cuatro Cañadas,8195,-17.2665667,-62.5570351,Santa Cruz,Bolivia,
Aiquile,7863,-18.2044047,-65.1821585,Cochabamba,Bolivia,
Entre Rios,7477,-17.1968184,-64.5407649,Cochabamba,Bolivia,
Reyes,7202,-14.2973893,-67.3359339,Beni,Bolivia,
San Javier,7119,-16.275015,-62.5055094,Santa Cruz,Bolivia,
Mairana,6756,-18.1195826,-63.9564441,Santa Cruz,Bolivia,
Pandoja,6611,-17.3602435,-66.2619692,Cochabamba,Bolivia,
Okinawa 1,6408,-17.2168373,-62.8960679,Santa Cruz,Bolivia,
San Ramon,6398,-16.6151805,-62.5025981,Santa Cruz,Bolivia,
Apolo,6376,-14.7180588,-68.4160551,La Paz,Bolivia,
Caracollo,6361,-17.6380229,-67.2196941,Oruro,Bolivia,
San Matias,6336,-16.3592098,-58.4031747,Santa Cruz,Bolivia,
Chimore,6260,-16.9946804,-65.1544375,Cochabamba,Bolivia,
El Paso,6117,-17.3361245,-66.2659261,Cochabamba,Bolivia,
Campamento Colquiri,5972,-17.3916901,-67.1252611,La Paz,Bolivia,
Lahuachaca,5874,-17.3765841,-67.6774386,La Paz,Bolivia,
Siglo XX,5834,-18.4265418,-66.5943389,Potosí,Bolivia,
Copacabana,5731,-16.1654431,-69.0854832,La Paz,Bolivia,
Shinahota,5669,-16.9933964,-65.2467615,Cochabamba,Bolivia,
Magdalena,5516,-13.2577349,-64.0540726,Beni,Bolivia,
Palos Blancos,5478,-15.5862221,-67.2501198,La Paz,Bolivia,
San Juan de Yapacani,5401,-17.2916707,-63.8469662,Santa Cruz,Bolivia,
Fernandez Alonso,5363,-17.009616,-63.2271832,Santa Cruz,Bolivia,
Comarapa,5315,-17.9177083,-64.5252377,Santa Cruz,Bolivia,
Arroyo Concepcion,5302,-19.0253954,-57.7119309,Santa Cruz,Bolivia,
Porco,5287,-19.799304,-65.9877832,Potosí,Bolivia,
General Saavedra,5267,-17.2287987,-63.214098,Santa Cruz,Bolivia,
Capinota,5264,-17.7085462,-66.2633353,Cochabamba,Bolivia,
Camargo,5263,-20.6412575,-65.2087345,Chuquisaca,Bolivia,
Santa Rosa del Sara,5238,-17.1113255,-63.5995317,Santa Cruz,Bolivia,
Menonita Rivas Palacio,5152,-18.1658271,-62.9829835,Santa Cruz,Bolivia,
Santa Rosa de Yacuma,4727,-14.0761704,-66.794918,Beni,Bolivia,
Betanzos,4724,-19.5525421,-65.4431437,Potosí,Bolivia,
Cabezas,4709,-18.78752,-63.3174143,Santa Cruz,Bolivia,
Yucumo,4666,-15.1421191,-67.0326686,Beni,Bolivia,
San Carlos,4620,-17.4038196,-63.7334652,Santa Cruz,Bolivia,
La Belgica,4575,-17.5714495,-63.2409589,Santa Cruz,Bolivia,
San Joaquin,4556,-13.0412132,-64.6714602,Beni,Bolivia,
Buena Vista,4405,-17.4590034,-63.6647073,Santa Cruz,Bolivia,
Santiago de Huari,4401,-19.0131317,-66.7780498,Oruro,Bolivia,
Samaipata,4398,-18.1796511,-63.8757286,Santa Cruz,Bolivia,
Porvenir,4391,-11.2296803,-68.6899218,Pando,Bolivia,
San Miguel,4365,-16.6980549,-60.9699816,Santa Cruz,Bolivia,
San Benito,4344,-17.5232501,-65.8923049,Cochabamba,Bolivia,
Colquechaca,4272,-18.7003032,-66.0030859,Potosí,Bolivia,
Zudañez,4168,-19.1201456,-64.7031343,Chuquisaca,Bolivia,
Guanay,4165,-15.4993025,-67.8818573,La Paz,Bolivia,
Paracaya Linde,4161,-17.5036337,-65.8664391,Cochabamba,Bolivia,
San Pedro,4094,-16.8263823,-63.4828868,Santa Cruz,Bolivia,
Saipina,4090,-18.0937533,-64.5808612,Santa Cruz,Bolivia,
Porongo,4076,-17.8532388,-63.309499,Santa Cruz,Bolivia,
Desaguadero,4065,-16.5683358,-69.0341463,La Paz,Bolivia,
Entre Rios,4044,-21.5263973,-64.1748836,Tarija,Bolivia,
Ixiamas,4030,-13.7677429,-68.1272612,La Paz,Bolivia,
Irpa Irpa,3953,-17.7248209,-66.2871267,Cochabamba,Bolivia,
Tarata,3952,-17.6165588,-66.0240154,Cochabamba,Bolivia,
Cotagaita,3931,-20.8173464,-65.659669,Potosí,Bolivia,
Colomi,3914,-17.342591,-65.8626514,Cochabamba,Bolivia,
Bulo Bulo,3876,-17.2522074,-64.3642353,Cochabamba,Bolivia,
Urubicha,3848,-15.6296853,-63.0847553,Santa Cruz,Bolivia,
Catavi,3834,-18.4137206,-66.5660772,Potosí,Bolivia,
Aramasi,3740,-17.6012028,-65.8847167,Cochabamba,Bolivia,
Poopo,3662,-18.3797476,-66.9692566,Oruro,Bolivia,
Chane Independencia,3589,-16.9747084,-63.2218173,Santa Cruz,Bolivia,
Arbieto,3578,-17.5838113,-66.0138236,Cochabamba,Bolivia,
Los Negros,3572,-18.0546763,-64.1226691,Santa Cruz,Bolivia,
Carapari,3549,-21.8283616,-63.7423654,Tarija,Bolivia,
San Ramon,3545,-13.2660576,-64.6152062,Beni,Bolivia,
Arani,3542,-17.5723422,-65.7720127,Cochabamba,Bolivia,
Charagua,3496,-19.791139,-63.1972862,Santa Cruz,Bolivia,
Mizque,3487,-17.94185,-65.343525,Cochabamba,Bolivia,
Tito Yupanqui,3459,-16.1927139,-68.9563284,La Paz,Bolivia,
San Buenaventura,3452,-14.4329992,-67.5416518,La Paz,Bolivia,
Mapiri,3446,-15.3096082,-68.2148369,La Paz,Bolivia,
Nueva Esperanza,3420,-17.4827308,-60.5531014,Santa Cruz,Bolivia,
Boyuibe,3401,-20.4320104,-63.2815973,Santa Cruz,Bolivia,
San Lorenzo,3401,-21.4174942,-64.7506192,Tarija,Bolivia,
Santa Rita,3377,-17.9787238,-63.3715293,Santa Cruz,Bolivia,
Tolata,3368,-17.5325609,-65.9677931,Cochabamba,Bolivia,
Eterazama,3358,-16.8337762,-65.5202865,Cochabamba,Bolivia,
Hardeman,3321,-16.67491,-63.6175359,Santa Cruz,Bolivia,
