name,population,state,country,percentageOfSessions,latitude,longitude
Almaty,2030285,Almaty qala,Kazakhstan,null,43.2363924,76.9457275
Astana,1234042,Astana qala,Kazakhstan,null,51.1282205,71.4306682
Şymkent,1112478,Şymkent qala,Kazakhstan,null,42.3146962,69.5883282
Aqtöbe,540493,Aqtöbe,Kazakhstan,null,50.2836268,57.2298651
Qarağandy,508824,Qarağandy,Kazakhstan,null,49.8161282,73.1026622
Taraz,418368,Jambyl,Kazakhstan,null,42.9015945,71.3769302
Öskemen,349463,Şyğys Qazaqstan,Kazakhstan,null,49.9484438,82.6274791
Pavlodar,333190,Pavlodar,Kazakhstan,null,52.2857573,76.9455035
Atyrau,306548,Atyrau,Kazakhstan,null,47.1067183,51.9138976
Semei,303210,Şyğys Qazaqstan,Kazakhstan,null,50.404377,80.2496637
Qyzylorda,271309,Qyzylorda,Kazakhstan,null,44.8426778,65.5036151
Qostanai,258990,Qostanai,Kazakhstan,null,53.2146604,63.632607
Aqtau,251855,Mañğystau,Kazakhstan,null,43.6353364,51.168222
Oral,247467,Batys Qazaqstan,Kazakhstan,null,51.2040697,51.3707863
Petropavl,222636,Soltustık Qazaqstan,Kazakhstan,null,54.8668104,69.1334984
Türkıstan,207605,Turkıstan,Kazakhstan,null,43.3019457,68.2703698
Kökşetau,171630,Aqmola,Kazakhstan,null,53.2852054,69.3814676
Temırtau,171019,Qarağandy,Kazakhstan,null,50.0587825,72.9535681
Taldyqorğan,165325,Almaty,Kazakhstan,null,45.0164138,78.3791841
Ekıbastūz,129748,Pavlodar,Kazakhstan,null,51.7275817,75.3288511
Rudnyi,112052,Qostanai,Kazakhstan,null,52.964458,63.133488
Jezqazğan,88320,Qarağandy,Kazakhstan,null,47.80434,67.7145674
Qaskeleñ,79482,Almaty,Kazakhstan,null,43.1858776,76.6165737
Balqaş,73785,Qarağandy,Kazakhstan,null,46.8433208,74.9773285
Kentau,72573,Turkıstan,Kazakhstan,null,43.5165919,68.4996044
Jañaözen,72425,Mañğystau,Kazakhstan,null,43.3381034,52.8556219
Sätbaev,67456,Qarağandy,Kazakhstan,null,47.904949,67.530579
Qūlsary,64458,Atyrau,Kazakhstan,null,46.9621483,54.0129176
Talğar,63883,Almaty,Kazakhstan,null,43.3027233,77.2395288
Saryağaş,59606,Turkıstan,Kazakhstan,null,41.4501133,69.1644419
Zatşagansk,58356,Batys Qazaqstan,Kazakhstan,null,51.185177,51.316471
Beineu,55842,Mañğystau,Kazakhstan,null,45.321377,55.186226
Qapşağai,54245,Almaty,Kazakhstan,null,43.8649484,77.0533416
Jarkent,52361,Almaty,Kazakhstan,null,44.165665,80.002739
Aqsu,51866,Pavlodar,Kazakhstan,null,52.0354244,76.9341133
Qarabūlaq,51568,Turkıstan,Kazakhstan,null,42.5259144,69.7705094
Arys,50370,Turkıstan,Kazakhstan,null,42.4324695,68.8134889
Stepnogor,48894,Aqmola,Kazakhstan,null,52.346371,71.880493
Qosşy,48630,Aqmola,Kazakhstan,null,50.9754092,71.354946
Ştşutşinsk q.,46744,Aqmola,Kazakhstan,null,52.9387457,70.1857634
Ūzynağaş,46159,Almaty,Kazakhstan,null,43.2118387,76.3159728
Ridder,45859,Şyğys Qazaqstan,Kazakhstan,null,50.338932,83.506157
Şu,44814,Jambyl,Kazakhstan,null,43.608765,73.76075
Äiteke Bi,44502,Qyzylorda,Kazakhstan,null,45.844875,62.153023
Jetısai,44105,Turkıstan,Kazakhstan,null,40.777134,68.324677
Aiagöz,42351,Şyğys Qazaqstan,Kazakhstan,null,47.9651211,80.4365994
Esık,41018,Almaty,Kazakhstan,null,43.359486,77.465919
Şahtinsk,38923,Qarağandy,Kazakhstan,null,49.7056642,72.5948421
Qordai,38012,Jambyl,Kazakhstan,null,43.042965,74.714485
Altai,36360,Şyğys Qazaqstan,Kazakhstan,null,49.724243,84.275146
Aqsai,36293,Batys Qazaqstan,Kazakhstan,null,51.173893,53.011478
Aral,36004,Qyzylorda,Kazakhstan,null,46.797985,61.661221
Şielı,35972,Qyzylorda,Kazakhstan,null,44.176025,66.740959
Boraldai,35863,Almaty,Kazakhstan,null,43.3584693,76.8590468
Rahat,35468,Mañğystau,Kazakhstan,null,43.328697,52.902336
Qandyağaş,34898,Aqtöbe,Kazakhstan,null,49.4718361,57.4224647
Jıtıqara,34880,Qostanai,Kazakhstan,null,52.1856061,61.1893675
