name,population,latitude,longitude,state,country,percentageOfSessions
Biškek,1103562,42.8777895,74.6066926,Biškek City,Kyrgyzstan,
Oš,315881,40.5303613,72.7910097,Oš City,Kyrgyzstan,
Žalal-Abad,117533,40.9298182,73.00119,Žalal-Abad,Kyrgyzstan,
Karakol,77241,42.4916808,78.3901729,Ycyk-Kôl,Kyrgyzstan,
Tokmok,73433,42.8373462,75.2953881,Čùj,Kyrgyzstan,
Novopavlovka,71666,42.873333,74.482778,Čùj,Kyrgyzstan,
Ôzgôn,61773,40.769112,73.297544,Oš,Kyrgyzstan,
Bazar-Korgon,58383,41.034942,72.742987,Žalal-Abad,Kyrgyzstan,
Kara-Balta,52499,42.816667,73.85,Čùj,Kyrgyzstan,
Balykčy,51487,42.456892,76.1960866,Ycyk-Kôl,Kyrgyzstan,
Kyzyl-Kyâ,44012,40.2607134,72.1303099,Batken,Kyrgyzstan,
Naryn,41681,41.4254935,76.0057796,Naryn,Kyrgyzstan,
Talas,41067,42.5233807,72.2373853,Talas,Kyrgyzstan,
Aravan [bôlùgù],34684,40.512,72.500376,Oš,Kyrgyzstan,
Suzak,31006,40.895348,72.884143,Žalal-Abad,Kyrgyzstan,
Belovodskoe,27626,42.83333,74.11667,Čùj,Kyrgyzstan,
Kara-Suu,27013,40.707,72.88004,Oš,Kyrgyzstan,
Lebedinovka,23356,42.88459,74.67733,Čùj,Kyrgyzstan,
Novopokrovka,23289,42.87164,74.72559,Čùj,Kyrgyzstan,
Kant,23249,42.89093,74.8423,Čùj,Kyrgyzstan,
Kara-Kôl,23048,41.6342207,72.6787256,Žalal-Abad,Kyrgyzstan,
Razzakov (Isfana),22764,39.8323,69.53333,Batken,Kyrgyzstan,
Voenno-Antonovka,22712,42.87083,74.44694,Čùj,Kyrgyzstan,
Šark,22136,40.55689,72.82651,Oš,Kyrgyzstan,
Kašgar-Kyštak,21343,40.62211,72.83173,Oš,Kyrgyzstan,
Kuršab,21087,40.689894,73.182608,Oš,Kyrgyzstan,
Toktogul,20852,41.863846,72.955501,Žalal-Abad,Kyrgyzstan,
Masy,20131,41.069,72.637,Žalal-Abad,Kyrgyzstan,
Majluu-Suu,20071,41.2457479,72.448039,Žalal-Abad,Kyrgyzstan,
