state,name,population,latitude,longitude,country,percentageOfSessions
Noord-Holland,Amsterdam,894120,52.3728173,4.8987359,Netherlands,
Zuid-Holland,Rotterdam,610560,51.9064457,4.4735623,Netherlands,
Zuid-Holland,ʼs-Gravenhage,562490,52.0780174,4.3194727,Netherlands,
Utrecht,Utrecht,316435,52.0920186,5.1216288,Netherlands,
Noord-Brabant,Eindhoven,243740,51.4386308,5.4812346,Netherlands,
Flevoland,Almere,222850,52.3763068,5.2171297,Netherlands,
Groningen,Groningen,204925,53.2196093,6.574328,Netherlands,
Noord-Brabant,Tilburg,203640,51.5572687,5.0872231,Netherlands,
Gelderland,Nijmegen,165300,51.8494985,5.8643594,Netherlands,
Noord-Holland,Haarlem,164760,52.3871189,4.6386869,Netherlands,
Gelderland,Arnhem,163495,51.9794408,5.9118337,Netherlands,
Overijssel,Enschede,151080,52.2204476,6.8943984,Netherlands,
Noord-Brabant,Breda,149220,51.5889462,4.7759321,Netherlands,
Utrecht,Amersfoort,145610,52.15574,5.3917556,Netherlands,
Gelderland,Apeldoorn,143460,52.2132297,5.960968,Netherlands,
Overijssel,Zwolle,130460,52.5135793,6.093899,Netherlands,
Zuid-Holland,Leiden,127095,52.158074,4.4886451,Netherlands,
Zuid-Holland,Zoetermeer,127000,52.0614257,4.4927131,Netherlands,
Zuid-Holland,Dordrecht,121430,51.8134146,4.6686081,Netherlands,
Limburg,Maastricht,120050,50.8492469,5.6915269,Netherlands,
Noord-Brabant,ʼs-Hertogenbosch,112525,51.6882582,5.3018287,Netherlands,
Zuid-Holland,Delft,106080,52.0109143,4.3596813,Netherlands,
Noord-Holland,Alkmaar,99350,52.6317903,4.7455228,Netherlands,
Fryslân,Leeuwarden,95895,53.2011325,5.7977772,Netherlands,
Noord-Holland,Amstelveen,93405,52.3026114,4.8638824,Netherlands,
Noord-Brabant,Helmond,89580,51.4809877,5.6553934,Netherlands,
Noord-Holland,Hilversum,89150,52.2234818,5.1758965,Netherlands,
Flevoland,Lelystad,83005,52.5063165,5.4767927,Netherlands,
Overijssel,Deventer,82800,52.2526616,6.1567908,Netherlands,
Noord-Holland,Purmerend,82620,52.5093507,4.9468667,Netherlands,
Overijssel,Hengelo,81075,52.2645554,6.7938305,Netherlands,
Noord-Holland,Zaandam,80715,52.4476097,4.826701,Netherlands,
Zuid-Holland,Schiedam,80620,51.9166435,4.3997939,Netherlands,
Noord-Holland,Hoofddorp,79665,52.3049219,4.7045401,Netherlands,
Gelderland,Ede,77025,52.0456821,5.6708383,Netherlands,
Zuid-Holland,Gouda,75315,52.0131848,4.7109976,Netherlands,
Zuid-Holland,Vlaardingen,75085,51.9109551,4.3399067,Netherlands,
Zuid-Holland,Alphen aan den Rijn,73880,52.1387587,4.6537631,Netherlands,
Zuid-Holland,Spijkenisse,72760,51.8504059,4.326569,Netherlands,
Overijssel,Almelo,70355,52.3582038,6.6643258,Netherlands,
Limburg,Venlo,68585,51.3688832,6.1682785,Netherlands,
Utrecht,Veenendaal,68540,52.0272874,5.5565117,Netherlands,
Limburg,Heerlen,68355,50.8881864,5.9785399,Netherlands,
Drenthe,Assen,68190,52.9969758,6.560785,Netherlands,
Zuid-Holland,Capelle aan den IJssel,67575,51.9316862,4.5900308,Netherlands,
Noord-Brabant,Roosendaal,66540,51.5305241,4.4542148,Netherlands,
Utrecht,Nieuwegein,65430,52.028656,5.0810606,Netherlands,
Noord-Brabant,Oss,59740,51.7667482,5.5175345,Netherlands,
Zuid-Holland,Rijswijk,57975,52.0436368,4.3169232,Netherlands,
Noord-Holland,Heerhugoward,56855,52.6633585,4.8268132,Netherlands,
Utrecht,Zeist,55020,52.0849748,5.2462262,Netherlands,
Noord-Brabant,Bergen op Zoom,54425,51.4949022,4.2874226,Netherlands,
Drenthe,Emmen,53500,52.7839563,6.8949014,Netherlands,
Noord-Holland,Hoorn,52950,52.6387469,5.0686852,Netherlands,
Noord-Brabant,Oosterhout,51210,51.6441113,4.860593,Netherlands,
Zuid-Holland,Barendrecht,48070,51.8545765,4.5386841,Netherlands,
Utrecht,Houten,47055,52.0276914,5.1641845,Netherlands,
Noord-Brabant,Veldhoven,46025,51.4021692,5.3957613,Netherlands,
Gelderland,Harderwijk,45470,52.3485165,5.6164145,Netherlands,
Gelderland,Doetinchem,45020,51.9652337,6.2884178,Netherlands,
Fryslân,Drachten,44980,53.1062229,6.0973912,Netherlands,
Zuid-Holland,Voorburg,43090,52.0754517,4.3588231,Netherlands,
Zuid-Holland,Katwijk,42805,52.2038232,4.3953324,Netherlands,
Noord-Brabant,Etten-Leur,42650,51.5741111,4.6383623,Netherlands,
Limburg,Roermond,41790,51.195831,5.9901016,Netherlands,
Limburg,Weert,41540,51.2540521,5.7054734,Netherlands,
Zeeland,Middelburg,41255,51.5001316,3.6077569,Netherlands,
Zuid-Holland,Zwijndrecht,41200,51.8136193,4.6506183,Netherlands,
Noord-Holland,Den Helder,40725,52.9591751,4.762983,Netherlands,
Drenthe,Hoogeveen,40560,52.724524,6.478694,Netherlands,
Gelderland,Tiel,40495,51.8868263,5.4352716,Netherlands,
Noord-Holland,Wijkertoren,40495,52.485513,4.6591378,Netherlands,
Limburg,Kerkrade,40210,50.8640628,6.0584017,Netherlands,
Noord-Holland,Huizen,39940,52.3002792,5.2330258,Netherlands,
Zuid-Holland,Voorne aan Zee,39690,51.8311015,4.1451503,Netherlands,
Utrecht,Soest,39570,52.1747903,5.2846914,Netherlands,
Utrecht,Maarssen,39350,52.1413042,5.0420211,Netherlands,
Utrecht,Woerden,38435,52.0862274,4.8850578,Netherlands,
Gelderland,Wageningen,38240,51.9659116,5.6626943,Netherlands,
Noord-Holland,Heemskerk,38205,52.5113088,4.6718933,Netherlands,
Gelderland,Zutphen,37780,52.1379485,6.1949256,Netherlands,
Zuid-Holland,Gorinchem,37495,51.8284027,4.9708117,Netherlands,
Limburg,Sittard,37495,50.9996683,5.8667749,Netherlands,
Overijssel,Kampen,37475,52.5575062,5.9170382,Netherlands,
Zuid-Holland,Ridderkerk,36320,51.8715709,4.5983107,Netherlands,
Noord-Brabant,Uden,35895,51.6583876,5.6142839,Netherlands,
Zuid-Holland,Hoogvliet,35885,51.8548872,4.3654474,Netherlands,
Gelderland,Barneveld,35840,52.1401598,5.5859947,Netherlands,
Zuid-Holland,Maassluis,35300,51.9206063,4.2568565,Netherlands,
Zeeland,Vlissingen,34455,51.4424094,3.5809733,Netherlands,
Gelderland,Wijchen,34255,51.8075262,5.7254245,Netherlands,
Fryslân,Sneek,34105,53.0319371,5.6611216,Netherlands,
