name,population,latitude,longitude,state,country,status
Auckland,1412308,-36.8483788,174.7643818,Auckland,New Zealand,Admin 1 capital
Christchurch,380702,-43.5303394,172.6323971,Canterbury,New Zealand,Admin 1 capital
Wellington,212914,-41.2848586,174.7760708,Wellington,New Zealand,National capital; Admin 1 capital
Hamilton,181825,-37.7894741,175.2810993,Waikato,New Zealand,Admin 1 capital
Tauranga,152051,-37.6808614,176.166716,Bay of Plenty,New Zealand,
Lower Hutt,112222,-41.2092617,174.9111965,Wellington,New Zealand,
Dunedin,105974,-45.8768751,170.504857,Otago,New Zealand,Admin 1 capital
Palmerston North,82487,-40.3492078,175.6119636,Manawatū-Whanganui,New Zealand,Admin 1 capital
Napier,66714,-39.4981131,176.9129355,Hawke's Bay,New Zealand,Admin 1 capital
Whangārei,64789,-35.7287379,174.3256131,Northland,New Zealand,Admin 1 capital
Rotorua,64672,-38.1352599,176.2505702,Bay of Plenty,New Zealand,
Porirua,60257,-41.1333085,174.8406465,Wellington,New Zealand,
New Plymouth,57193,-39.059528,174.0730894,Taranaki,New Zealand,
Hastings,52112,-39.6400069,176.8452906,Hawke's Bay,New Zealand,
Nelson,51015,-41.2744725,173.2854432,Nelson,New Zealand,Admin 1 capital
Invercargill,48998,-46.4112539,168.3528275,Southland,New Zealand,Admin 1 capital
Upper Hutt,46145,-41.1239663,175.0694006,Wellington,New Zealand,
Whanganui,44725,-39.9270117,175.0480056,Manawatū-Whanganui,New Zealand,
Gisborne,41152,-38.6637205,178.0200679,Gisborne,New Zealand,Admin 1 capital
Blenheim,31202,-41.516939,173.9562856,Marlborough,New Zealand,Admin 1 capital
Papakura,31197,-37.0590566,174.9667688,Auckland,New Zealand,
Rolleston,30781,-43.5855439,172.4009212,Canterbury,New Zealand,
Paraparaumu,30682,-40.9267751,175.0079845,Wellington,New Zealand,
Timaru,28582,-44.3970555,171.2507288,Canterbury,New Zealand,
Taupō,28065,-38.6874352,176.0823466,Waikato,New Zealand,
Pukekohe,27282,-37.2034206,174.8925645,Auckland,New Zealand,
Masterton,23981,-40.9471335,175.6508786,Wellington,New Zealand,
Cambridge,23947,-37.8979733,175.4792972,Waikato,New Zealand,
Levin,21830,-40.6286097,175.3176964,Manawatū-Whanganui,New Zealand,
Ashburton,21209,-43.9026107,171.7467972,Canterbury,New Zealand,
Rangiora,20065,-43.3072365,172.6027217,Canterbury,New Zealand,
Feilding,18684,-40.2069601,175.5594748,Manawatū-Whanganui,New Zealand,
Richmond,17690,-41.3407447,173.1883415,Tasman,New Zealand,Admin 1 capital
Havelock North,16456,-39.6711486,176.8872135,Hawke's Bay,New Zealand,
Te Awamutu,16104,-37.9931664,175.3281192,Waikato,New Zealand,
Tokoroa,14993,-38.2186936,175.8646201,Waikato,New Zealand,
Queenstown,14705,-45.0284731,168.6648227,Otago,New Zealand,
Whakatāne,14624,-37.9743599,176.9912983,Bay of Plenty,New Zealand,Admin 1 capital
Kaiapoi,13838,-43.3780055,172.6683149,Canterbury,New Zealand,
Mosgiel,13733,-45.8673308,170.3470544,Otago,New Zealand,
Oamaru,12626,-45.0939732,170.9660026,Otago,New Zealand,
Te Puke,12537,-37.8098424,176.2999981,Bay of Plenty,New Zealand,
Kerikeri,12250,-35.2237058,173.9575988,Northland,New Zealand,
Stanmore Bay,12038,-36.6269519,174.7312323,Auckland,New Zealand,
Orewa,11952,-36.5857599,174.681084,Auckland,New Zealand,
Waiuku,11398,-37.2471077,174.7551992,Auckland,New Zealand,
Hāwera,11320,-39.5811108,174.3011837,Taranaki,New Zealand,
Lincoln,11138,-43.6653658,172.4980451,Canterbury,New Zealand,
Matamata,10759,-37.836848,175.7518934,Waikato,New Zealand,
Morrinsville,10629,-37.6822508,175.5417036,Waikato,New Zealand,
Wānaka,10339,-44.7278218,169.1415091,Otago,New Zealand,
Waikanae,9718,-40.8714332,175.0663521,Wellington,New Zealand,
Huntly,9659,-37.576366,175.1526172,Waikato,New Zealand,
Ngāruawāhia,9588,-37.6781117,175.1271742,Waikato,New Zealand,
Red Beach,9286,-36.6083141,174.6972615,Auckland,New Zealand,
Motueka,8916,-41.1203547,172.9915225,Tasman,New Zealand,
Kaitaia,8863,-35.1266016,173.3361993,Northland,New Zealand,
Karaka,8702,-37.105145,174.8719822,Auckland,New Zealand,
Silverdale,8539,-36.6145775,174.6726897,Auckland,New Zealand,
Greymouth,8401,-42.4665443,171.2092401,West Coast,New Zealand,Admin 1 capital
Gore,8190,-46.103341,168.933165,Southland,New Zealand,
Warkworth,8153,-36.4240023,174.6541735,Auckland,New Zealand,
Thames,7965,-37.1331707,175.5750843,Waikato,New Zealand,
Kawerau,7787,-38.0918632,176.6875029,Bay of Plenty,New Zealand,
Waitara,7695,-38.9997208,174.2441469,Taranaki,New Zealand,
Dannevirke,7692,-40.2208504,176.081039,Manawatū-Whanganui,New Zealand,
Cromwell,7399,-45.0296203,169.1596421,Otago,New Zealand,
Waihi,7309,-37.4071209,175.8552619,Waikato,New Zealand,
Kumeū,7262,-36.7873038,174.5420225,Auckland,New Zealand,
Helensville,6986,-36.6927538,174.4706833,Auckland,New Zealand,
Tuakau,6795,-37.2673647,174.9550609,Waikato,New Zealand,
Kaikohe,6760,-35.433245,173.7915732,Northland,New Zealand,
Marton,6732,-40.0392714,175.391077,Manawatū-Whanganui,New Zealand,
Prebbleton,6517,-43.5914403,172.5014711,Canterbury,New Zealand,
Stratford,6511,-39.3253441,174.308191,Taranaki,New Zealand,Admin 1 capital
Raglan,6491,-37.86171,174.8997442,Waikato,New Zealand,
Gulf Harbour,6233,-36.6159785,174.7932289,Auckland,New Zealand,
Carterton,6174,-41.0313618,175.5143722,Wellington,New Zealand,
Whitianga,6163,-36.8173343,175.6756078,Waikato,New Zealand,
Waipukurau,5987,-40.026187,176.5640471,Hawke's Bay,New Zealand,
Ōtaki,5982,-40.7542461,175.1645994,Wellington,New Zealand,
Tamahere,5839,-37.8408852,175.3782977,Waikato,New Zealand,
Wairoa,5831,-39.0344569,177.3952984,Hawke's Bay,New Zealand,
Dargaville,5715,-35.9538921,173.8469217,Northland,New Zealand,
Alexandra,5662,-45.2304663,169.3747911,Otago,New Zealand,
Te Kūiti,5647,-38.341893,175.1401872,Waikato,New Zealand,
Ōtorohanga,5635,-38.185074,175.2374448,Waikato,New Zealand,
Pōkeno,5618,-37.2443348,175.014328,Waikato,New Zealand,
Katikati,5572,-37.5508088,175.9239694,Bay of Plenty,New Zealand,
West Melton,5495,-43.507603,172.3588938,Canterbury,New Zealand,
Te Aroha,5319,-37.5137925,175.6941977,Waikato,New Zealand,
Paeroa,5223,-37.3968254,175.6728058,Waikato,New Zealand,
Ōpōtiki,5209,-38.0146452,177.2784848,Bay of Plenty,New Zealand,
Ohauiti,5200,-37.7919453,176.1832603,Bay of Plenty,New Zealand,
