Name,Latitude,Longitude,Population
Panamá,8.9828074,-79.5198048,430299
San Miguelito,9.0486646,-79.5081349,315019
Las Cumbres,9.091709,-79.5273864,127440
La Chorrera,8.8828588,-79.774005,118521
Tocumen,9.0973088,-79.3781918,113174
Pacora,9.0836433,-79.2905574,103960
Arraiján,8.9398034,-79.6427153,96676
David,8.4197394,-82.4304483,81957
Vista Alegre,8.9301451,-79.6990835,55114
Santiago de Veraguas,8.0883754,-80.9759083,51236
Chitré,7.9521924,-80.4383614,48479
Cristóbal,9.3504845,-79.9016211,47234
Colón,9.3592978,-79.9001555,34655
Juan Demóstenes Arosemena,8.9251772,-79.7251179,33704
Cativa,9.3636593,-79.8310438,32750
Aguadulce,8.2310002,-80.5547305,29908
Changuinola,9.4487879,-82.4853092,29032
Ancón,8.9698189,-79.5625255,24931
Penonome,8.5117141,-80.3572575,19149
La Concepcion,8.5173358,-82.6239581,18774
Veracruz,8.894367,-79.6239841,18366
Pedregal,8.3788347,-82.4264963,17427
Puerto Armuelles,8.2783963,-82.8628831,16797
Sabanitas,9.341795,-79.799008,16748
Puerto Caimito,8.8719174,-79.7220642,16496
Las Lomas o Llano del Medio,8.4285205,-82.3918606,15703
Puerto Pilon,9.3624367,-79.7952033,15454
Villa Unida,9.1773004,-79.6177822,14854
San Juan,9.2223686,-79.6331839,14574
San Vicente,9.1141234,-79.5916441,14109
Puerto Escondido o Urbanizacion El Esfuerzo,9.3341166,-79.8720657,13114
Chepo,9.1666243,-79.0965759,12912
Volcan,8.779193,-82.6434497,10286
Urbanizacion El Lago o La Feria,9.3549263,-79.8579185,9788
Las Tablas,7.7697501,-80.2734523,8939
Almirante,9.2946617,-82.3981044,8744
Los Algarrobos,8.4975261,-82.4237531,7887
Sona,8.0057948,-81.3198122,7669
Barriada Juan Demostenes Arosemena,9.2280521,-79.6294513,7589
El Valle,8.6039062,-80.1286084,6914
Anton,8.3947847,-80.2673017,6851
Chilibre Centro,9.1446786,-79.6148983,6813
La Villa de los Santos,7.9353284,-80.412199,6718
San Pablo Viejo Abajo,8.4479932,-82.4899581,5992
Rio Hato,8.3793569,-80.1638042,5615
Nata,8.3358958,-80.5204209,5470
Bocas del Toro,9.34072,-82.2477556,5380
Alto Boquete,8.7364758,-82.4343891,4746
Lidice,8.7486088,-79.9077278,4245
Las Margaritas,9.1926775,-79.0837756,4165
Buena Vista,9.2760439,-79.697747,4077
Ocu,7.9507203,-80.7776645,3939
Bejuco,8.605079,-79.8876814,3897
Villa Rosario,8.7776139,-79.8751569,3843
Nueva Gorgona,8.5584181,-79.8801773,3530
Gualaca,8.5306496,-82.298758,3453
Capira,8.7586644,-79.8813168,3432
Las Lajas,8.5405367,-79.9055122,3291
Bugaba,8.4934047,-82.6150736,3263
Guarare,7.8172925,-80.2798674,3243
Las Tablas,9.5423424,-82.7401997,3230
Canazas,8.3173562,-81.2116989,3219
Vista Hermosa,8.5263991,-80.3747131,3063
Parita,7.9982775,-80.5201139,2864
Tole,8.2408881,-81.6698063,2794
Atalaya,8.0432765,-80.9249428,2686
Siogui Abajo,8.4822089,-82.662891,2648
Nueva Italia,9.3084618,-79.8056962,2604
Pese,7.9086298,-80.6143273,2565
Divala,8.413825,-82.714365,2506
Chiriqui,8.3862621,-82.3211697,2429
Dolega,8.5651175,-82.4137313,2425
Chame,8.5814095,-79.8850199,2362
Meteti,8.5001596,-77.9773068,2298
Bajo Boquete,8.7762188,-82.4357436,2257
Quebrada Bonita Adentro,9.2974521,-79.7083594,2229
Macaracas,7.7376533,-80.5495093,2224
La Pena,8.1321129,-81.0269411,2223
Progreso,8.4533261,-82.8367376,2211
Ustupu o Isla Conejo Pintado,9.1351519,-77.9307705,2180
Capellania o Las Guabas,8.3036685,-80.5539698,2122
La Mesa,8.1534687,-81.1856413,2090
Santa Marta,8.5230713,-82.7003711,2037
El Valle de San Francisco,9.0558192,-79.555184,2025
El Silencio,9.3854382,-82.5339955,2017
Nuevo Emperador,9.0076232,-79.7231578,2003
Guabito,9.493379,-82.6125314,1978
Los Algarrobos,8.1132542,-81.0134581,1977
Farallon,8.3565825,-80.1372264,1967
Escobal,9.1474032,-79.9660218,1936
Juan Diaz,8.4556261,-80.2935276,1935
Montijo,7.9897022,-81.0568814,1932
Pedasi,7.5250624,-80.0197641,1920
La Pintada,8.5990625,-80.449646,1917
La Esperanza,8.4025207,-82.7886787,1890
Playon Chico  o Ukupseni,9.3078675,-78.2364007,1849
Aserrio de Gariche,8.4849905,-82.7968083,1804
San Francisco,8.2447085,-80.9724323,1785
Paso Canoas Internacional,8.5308835,-82.8347868,1774
Santo Domingo,7.7524509,-80.2420195,1772
Llano Marin,8.487772,-80.3335267,1757
La Palma,8.4040514,-78.1391436,1728
Nuevo San Carlitos,8.4647606,-82.439607,1724
Sortova,8.5518652,-82.6460731,1706
Finca 4,9.403977,-82.5041397,1700
Yaviza,8.1583476,-77.6927533,1700
Gatun o Rio Gatun,9.2874422,-79.7625839,1679
Santa Maria,8.1140871,-80.6646316,1679
Urbanizacion San Lorenzo,9.1332659,-79.5349805,1668
Boqueron,8.4991354,-82.5686671,1658
Calzada Larga,9.1749908,-79.5612263,1656
Santa Clara,9.0415689,-79.7554371,1653
El Roble,8.1702359,-80.6594083,1648
San Isidro,8.5356653,-82.8236511,1648
Finca 63,9.4524127,-82.4844599,1638
Torti,8.9241001,-78.399215,1611
Achutupu o Isla Perro,9.1983751,-77.9867273,1586
Guarumal,8.3490308,-82.5343742,1575
Cerro Punta,8.8541271,-82.5790297,1568
Ogobsucun o Ensenada de Coco,9.1332141,-77.9260483,1562
Guarumal,9.1689118,-79.534382,1552
La Loma,8.1714684,-80.6426094,1542
Finca 32,9.4298662,-82.5562932,1541
Chiriqui Grande,8.9509592,-82.1195526,1525
El Giral,9.2460923,-79.6945281,1522
Churuquita Grande,8.5990672,-80.2708686,1518
Santa Fe,8.6586325,-78.1590331,1499
Nuevo San Juan,9.2252843,-79.6642872,1494
Tonosi,7.4087248,-80.4404048,1478
Jaque,7.5169371,-78.1588911,1466
La Mesa,9.1729226,-79.2772861,1448
San Jose,8.5352826,-79.9239973,1444
San Antonio,9.1729017,-79.5474331,1435
Volcancito,8.7735536,-82.4559208,1434
Potrerillos  Abajo,8.6518964,-82.475943,1423
Los Pollos,8.4049925,-80.1589693,1419
Santa Rita,8.8635763,-79.8803562,1417
Ailigandi o Manglar,9.2237574,-78.0190764,1408
Kusapin,9.1817984,-81.8879162,1408
Portobelo,9.5530286,-79.6569278,1393
Residencial Tanara,9.1314132,-79.2230932,1391
Bisira,8.9033677,-81.857784,1383
Boca de Parita,8.0057204,-80.4478258,1381
Cerro Cama,9.0280744,-79.9054972,1376
Rio Duque,9.2627603,-79.6778692,1374
Alanje,8.4026989,-82.5578496,1373
Rio Sereno,8.8204201,-82.8529245,1368
Plaza de Caisan,8.7420898,-82.8166433,1363
Santa Clara,8.8432071,-82.768051,1360
Barranco Adentro,9.5326068,-82.7312398,1349
Caimitillo,9.1600046,-79.5345705,1345
Ciudad El Amanecer,9.140113,-79.5520397,1343
El Rincon,8.1188096,-80.615238,1341
Palmas Bellas,9.2283756,-80.0850266,1337
Quinteno,8.4721902,-82.394946,1324
Churiquita Chiquita,8.5681076,-80.2794596,1309
Cocle,8.4667212,-80.4109337,1298
Manaca Norte,8.3400465,-82.8085896,1294
Las Palmas,8.1368489,-81.4560241,1291
Maria  Chiquita,9.4397674,-79.7533508,1268
Las Guias Oriente,8.4190299,-80.0734668,1261
Gomez,8.5665435,-82.736483,1257
Barriada Kunanega,9.0592245,-79.5587973,1247
San Antonio,8.071843,-80.931531,1247
El Espave,8.6635469,-79.8723865,1236
La Mesa,9.4958694,-82.6753386,1235
Rio Rita,9.3042155,-79.7926528,1222
Manaca Civil,8.3198888,-82.8140938,1220
Finca 24,9.4223177,-82.5555871,1218
Kankintu,8.8450495,-81.8145803,1218
Santo Domingo,8.5121306,-82.7145971,1216
Yandud o  Nargana,9.4444073,-78.5864071,1215
La Colorada,8.0169341,-80.9822049,1214
La Represa,9.3377651,-79.8390833,1213
Nuevo Caimitillo,9.2107749,-79.5435849,1209
La Victoria,8.4983659,-82.6010635,1193
San Ignacio de Tupile (Dad Nakued Dupir) o Isla Gallina (Kannir Dup),9.2937192,-78.1514575,1192
Garachine,8.0654955,-78.367335,1188
Punta Pena,8.9165901,-82.1848726,1187
El Cope,8.6201551,-80.5784725,1176
La Espigadilla,7.8905693,-80.3873189,1172
Valle del Risco,9.2255711,-82.4289111,1171
Loma Flores,9.1631253,-79.9647659,1169
El Cortezo,8.3480985,-80.5900938,1157
Paso Ancho,8.8147274,-82.623882,1156
San Andres,8.6040917,-82.7251643,1152
La Tiza,7.754822,-80.2880388,1150
La Estancia Mendoza,8.9142714,-79.7963161,1145
La Palma,7.6922067,-80.1904827,1144
Barriada Theobroma,9.4274735,-82.5732536,1139
El Cano,8.4123524,-80.5173995,1129
Finca 51,9.4930456,-82.5857635,1119
El Espino de Santa Rosa,8.0944231,-80.8195339,1113
Siogui Arriba,8.5437768,-82.6793429,1112
Los Anastacios,8.5329229,-82.4193591,1110
Pueblo Nuevo,8.8827671,-82.2068768,1109
La Enea,7.8321926,-80.2731887,1105
Paso Canoas Arriba,8.5651627,-82.8221464,1090
Celmira,8.5365864,-82.7987615,1087
Finca 33,9.4217149,-82.5571479,1084
El Valle de La Union,9.238,-79.6600452,1081
El Ejido,7.9173341,-80.3808043,1079
Tijeras,8.4723789,-82.5523072,1075
Potrerillos Arriba,8.6879814,-82.492694,1074
Urbanizacion Nuevo Amanecer,9.4022061,-82.4979975,1073
Rio Grande,8.4263808,-80.4855655,1070
Caimito,8.5487746,-82.423929,1066
Finca Blanco,8.3838388,-82.8754068,1063
Rio de Jesus,7.984029,-81.1614064,1060
Llano de Piedra,7.6656837,-80.5625136,1054
