code,name,state,territory,country,quiz,latitude,longitude,population,national_capital,state_capital,manually_added,nicknames,db_match
paraguay-4712,1° de Junio,Paraguarí,,Paraguay,south-america,-25.6459774,-57.0702733,111,0,0,0,Primero de Junio,
paraguay-5567,1° Asentamiento Colonia Libertad,Itapúa,,Paraguay,south-america,-26.6178476,-54.9162999,58,0,0,0,Primer Asentamiento Colonia Libertad,
paraguay-526,1° de Marzo,San Pedro,,Paraguay,south-america,-24.7102399,-56.0071747,956,0,0,0,Primero de Marzo,
paraguay-1175,1° de Marzo,San Pedro,,Paraguay,south-america,-24.0938792,-56.629963,553,0,0,0,Primero de Marzo,
paraguay-1601,1° de Marzo,Canindeyú,,Paraguay,south-america,-24.6622624,-54.4306559,443,0,0,0,Primero de Marzo,
paraguay-1918,1° de Marzo,San Pedro,,Paraguay,south-america,-24.4690764,-56.8776064,384,0,0,0,Primero de Marzo,
paraguay-4089,1° de Marzo,Canindeyú,,Paraguay,south-america,-24.2193464,-54.734326,153,0,0,0,Primero de Marzo,
paraguay-5484,1° de Marzo,Canindeyú,,Paraguay,south-america,-24.2021165,-54.6955349,64,0,0,0,Primero de Marzo,
paraguay-164,1° de Mayo,Caaguazú,,Paraguay,south-america,-25.4553603,-56.116352,2415,0,0,0,Primero de Mayo,
paraguay-1025,1° de Mayo,San Pedro,,Paraguay,south-america,-24.6836145,-55.951929,611,0,0,0,Primero de Mayo,
paraguay-2205,1° de Mayo,San Pedro,,Paraguay,south-america,-24.730496,-56.4054678,342,0,0,0,Primero de Mayo,
paraguay-2702,1° de Mayo,San Pedro,,Paraguay,south-america,-24.1832215,-56.2216371,275,0,0,0,Primero de Mayo,
paraguay-2839,1° de Mayo,Caaguazú,,Paraguay,south-america,-25.1030463,-56.2423273,257,0,0,0,Primero de Mayo,
paraguay-3076,1° de Mayo,San Pedro,,Paraguay,south-america,-23.9898329,-56.216238,235,0,0,0,Primero de Mayo,
paraguay-4704,1° de Mayo,Caaguazú,,Paraguay,south-america,-25.1434489,-55.684621,111,0,0,0,Primero de Mayo,
paraguay-1878,1° de Mayo 1,Itapúa,,Paraguay,south-america,-26.5310603,-55.225603,391,0,0,0,Primero de Mayo 1,
paraguay-3905,1° de Mayo 2,Itapúa,,Paraguay,south-america,-26.4753128,-55.1674832,166,0,0,0,Primero de Mayo 2,
paraguay-795,1° de Noviembre,San Pedro,,Paraguay,south-america,-24.7178902,-56.0991583,732,0,0,0,Primero de Noviembre,
paraguay-565,1° Línea,Itapúa,,Paraguay,south-america,-26.3692918,-54.7193828,909,0,0,0,Primera Línea,
paraguay-1986,1° Línea - Ka'iho,Caaguazú,,Paraguay,south-america,-24.9360432,-55.8699241,375,0,0,0,Primera Línea - Ka'iho,
paraguay-2602,1° Línea Balanza,Caaguazú,,Paraguay,south-america,-25.5231238,-56.1913779,287,0,0,0,Primera Línea Balanza,
paraguay-1493,1° Línea Caballero,Caaguazú,,Paraguay,south-america,-25.5546221,-55.9409926,469,0,0,0,Primera Línea Caballero,
paraguay-986,1° Línea Chacore,Caaguazú,,Paraguay,south-america,-25.5439307,-55.8349067,622,0,0,0,Primera Línea Chacore,
paraguay-3609,1° Línea Eugenio A Garay,Caaguazú,,Paraguay,south-america,-25.5492642,-55.9726181,187,0,0,0,Primera Línea Eugenio A Garay,
paraguay-1307,1° Línea Guaira,Caaguazú,,Paraguay,south-america,-25.4182003,-56.1351229,514,0,0,0,Primera Línea Guaira,
paraguay-2931,1° Línea Irrazábal,Caaguazú,,Paraguay,south-america,-25.548468,-55.8539871,247,0,0,0,Primera Línea Irrazábal,
paraguay-6129,1° Línea Itá Karu,Caaguazú,,Paraguay,south-america,-25.6188484,-55.9548989,14,0,0,0,Primera Línea Itá Karu,
paraguay-5723,1° Línea Maracaná,Caaguazú,,Paraguay,south-america,-24.9407902,-55.7930086,48,0,0,0,Primera Línea Maracaná,
paraguay-2732,1° Línea Planta Urbana,Caaguazú,,Paraguay,south-america,-25.6571541,-55.7892919,271,0,0,0,Primera Línea Planta Urbana,
paraguay-4395,1° Línea San Miguel,Caaguazú,,Paraguay,south-america,-25.5830586,-56.1142077,131,0,0,0,Primera Línea San Miguel,
paraguay-3670,1° Vista,San Pedro,,Paraguay,south-america,-24.11097,-57.208546,183,0,0,0,Primera Vista,
paraguay-5392,10 de Agosto,San Pedro,,Paraguay,south-america,-24.5279415,-56.1768566,69,0,0,0,Diez de Agosto,
paraguay-4633,10 de Mayo,Alto Paraná,,Paraguay,south-america,-26.0025654,-55.2968153,116,0,0,0,Diez de Mayo,
paraguay-4200,11 de Octubre,San Pedro,,Paraguay,south-america,-23.7461762,-56.5386948,144,0,0,0,Once de Octubre,
paraguay-906,11 de Septiembre,Canindeyú,,Paraguay,south-america,-24.0285625,-55.5686574,661,0,0,0,Once de Septiembre,
paraguay-1681,11 de Septiembre,Canindeyú,,Paraguay,south-america,-24.4755096,-55.0578397,425,0,0,0,Once de Septiembre,
paraguay-1777,11 de Septiembre,Caaguazú,,Paraguay,south-america,-25.2076268,-55.668495,409,0,0,0,Once de Septiembre,
paraguay-4755,11 de Septiembre,Guairá,,Paraguay,south-america,-25.8860275,-56.2278776,108,0,0,0,Once de Septiembre,
paraguay-1203,12 de Junio,San Pedro,,Paraguay,south-america,-24.8917064,-56.3487782,544,0,0,0,Doce de Junio,
paraguay-1266,12 de Junio,San Pedro,,Paraguay,south-america,-24.7607818,-56.0678802,524,0,0,0,Doce de Junio,
paraguay-2740,12 de Junio,San Pedro,,Paraguay,south-america,-24.5638735,-56.4398272,270,0,0,0,Doce de Junio,
paraguay-4194,13 de Junio,Itapúa,,Paraguay,south-america,-26.5020963,-55.3402017,145,0,0,0,Trece de Junio,
paraguay-4662,13 de Junio,Guairá,,Paraguay,south-america,-25.5996593,-56.3314088,114,0,0,0,Trece de Junio,
paraguay-4812,13 de Junio,San Pedro,,Paraguay,south-america,-24.3719686,-56.694332,103,0,0,0,Trece de Junio,
paraguay-4879,13 de Junio,Guairá,,Paraguay,south-america,-25.7182495,-56.4620597,100,0,0,0,Trece de Junio,
paraguay-2139,13 Línea Walter Insfrán,Caaguazú,,Paraguay,south-america,-25.5902333,-56.1383831,352,0,0,0,Decimotercera Línea Walter Insfrán,
paraguay-395,14 de Mayo,Guairá,,Paraguay,south-america,-25.873674,-56.3619245,1176,0,0,0,Catorce de Mayo,
paraguay-478,14 de Mayo,Central,,Paraguay,south-america,-25.4479977,-57.5152664,1028,0,0,0,Catorce de Mayo,
paraguay-4586,14 de Mayo,Alto Paraná,,Paraguay,south-america,-25.8702629,-55.1276263,119,0,0,0,Catorce de Mayo,
paraguay-1189,14 de Mayo Suburbano,Alto Paraná,,Paraguay,south-america,-25.8453379,-55.1206037,549,0,0,0,Catorce de Mayo Suburbano,
paraguay-4332,14 Línea,Guairá,,Paraguay,south-america,-25.8675966,-56.0157732,135,0,0,0,Decimocuarta Línea,
paraguay-4856,14 Mil,Canindeyú,,Paraguay,south-america,-24.4760271,-54.9443835,101,0,0,0,Catorce Mil,
paraguay-1641,15 de Agosto,San Pedro,,Paraguay,south-america,-24.0885944,-56.6819649,433,0,0,0,Quince de Agosto,
paraguay-1887,15 de Agosto,San Pedro,,Paraguay,south-america,-24.6934759,-56.1106035,389,0,0,0,Quince de Agosto,
paraguay-4975,15 de Agosto,Concepción,,Paraguay,south-america,-23.1708328,-56.726127,95,0,0,0,Quince de Agosto,
paraguay-5759,15 de Agosto,Boquerón,,Paraguay,south-america,-22.2447991,-60.3252694,46,0,0,0,Quince de Agosto,
paraguay-5584,15 de Mayo,San Pedro,,Paraguay,south-america,-24.3443702,-56.8146259,57,0,0,0,Quince de Mayo,
paraguay-3963,15 de Septiembre,San Pedro,,Paraguay,south-america,-24.3581231,-56.6886809,161,0,0,0,Quince de Septiembre,
paraguay-4870,16 de Julio,San Pedro,,Paraguay,south-america,-24.8738015,-56.3532791,100,0,0,0,Dieciséis de Julio,
paraguay-1721,18 de Agosto,Itapúa,,Paraguay,south-america,-26.5434492,-55.4104012,418,0,0,0,Dieciocho de Agosto,
paraguay-3205,19 de Marzo,San Pedro,,Paraguay,south-america,-24.5673374,-56.0055137,222,0,0,0,Diecinueve de Marzo,
paraguay-589,2 de Mayo,San Pedro,,Paraguay,south-america,-24.5751501,-56.1340372,888,0,0,0,Dos de Mayo,
paraguay-4201,2 de Mayo,Central,,Paraguay,south-america,-25.5699707,-57.4995359,144,0,0,0,Dos de Mayo,
paraguay-761,2° Asentamiento Colonia Libertad,Itapúa,,Paraguay,south-america,-26.631607,-54.8662427,759,0,0,0,Segundo Asentamiento Colonia Libertad,
paraguay-3512,2° Línea - Ka'iho,Caaguazú,,Paraguay,south-america,-24.9357122,-55.8934588,194,0,0,0,Segunda Línea - Ka'iho,
paraguay-3170,2° Línea 3 de Noviembre,Guairá,,Paraguay,south-america,-25.7331687,-55.913653,226,0,0,0,Segunda Línea 3 de Noviembre,
paraguay-1059,2° Línea Balanza,Caaguazú,,Paraguay,south-america,-25.5453752,-56.2034096,593,0,0,0,Segunda Línea Balanza,
paraguay-1064,2° Línea Caballero Alvarez,Caaguazú,,Paraguay,south-america,-25.5689344,-55.9232009,590,0,0,0,Segunda Línea Caballero Alvarez,
paraguay-3355,2° Línea Chacore,Caaguazú,,Paraguay,south-america,-25.5701965,-55.8174055,208,0,0,0,Segunda Línea Chacore,
paraguay-5143,2° Línea Cristal,Caazapá,,Paraguay,south-america,-26.1006479,-55.7290436,84,0,0,0,Segunda Línea Cristal,
paraguay-5275,2° Línea General Delgado,Caaguazú,,Paraguay,south-america,-25.6195439,-55.9395342,75,0,0,0,Segunda Línea General Delgado,
paraguay-3405,2° Línea Guaira,Caaguazú,,Paraguay,south-america,-25.4079061,-56.1103734,204,0,0,0,Segunda Línea Guaira,
paraguay-1901,2° Línea Irrazábal Norte,Caaguazú,,Paraguay,south-america,-25.5412096,-55.8707636,387,0,0,0,Segunda Línea Irrazábal Norte,
paraguay-1560,2° Línea Irrazábal Sur,Caaguazú,,Paraguay,south-america,-25.5753312,-55.8685151,450,0,0,0,Segunda Línea Irrazábal Sur,
