name,population,latitude,longitude,state,country,percentageOfSessions,,,,
Lisboa,545142,38.7376745,-9.15677179,,Portugal,,,,,
Porto,231800,41.16169804,-8.620935219,,Portugal,,,,,
Vila Nova de Gaia,188421,41.11070845,-8.619270391,,Portugal,,,,,
Amadora,171454,38.75981258,-9.229503441,,Portugal,,,,,
Braga,148977,41.5517952,-8.420646192,,Portugal,,,,,
Coimbra,106768,40.20535205,-8.436247144,,Portugal,,,,,
Setúbal,88646,38.52969464,-8.879025859,,Portugal,,,,,
Rio Tinto,65469,41.18406242,-8.551252191,,Portugal,,,,,
Odivelas,57834,38.79252787,-9.183806999,,Portugal,,,,,
Leiria,55074,39.74923739,-8.806020217,,Portugal,,,,,
Guimarães,54178,41.43861047,-8.313434762,,Portugal,,,,,
Matosinhos,49034,41.19374915,-8.692583253,,Portugal,,,,,
Faro,41904,37.02432916,-7.930027404,,Portugal,,,,,
Aveiro,41461,40.63367329,-8.635507156,,Portugal,,,,,
Póvoa de Varzim,41292,41.38746345,-8.754817329,,Portugal,,,,,
Agualva,41195,38.77405477,-9.2930396,,Portugal,,,,,
Maia,40534,41.22982195,-8.61409457,,Portugal,,,,,
Évora,40455,38.56747595,-7.910778741,,Portugal,,,,,
Ermesinde,38828,41.21601987,-8.549318507,,Portugal,,,,,
Barreiro,37271,38.65963491,-9.069223547,,Portugal,,,,,
Vila Nova de Famalicão,35299,41.40609337,-8.519676766,,Portugal,,,,,
Castelo Branco,33772,39.81980595,-7.498215485,,Portugal,,,,,
Massamá,32573,38.75726527,-9.278982548,,Portugal,,,,,
Montijo,31541,38.70925086,-8.967744491,,Portugal,,,,,
Cruz de Pau,31377,38.62251113,-9.122109119,,Portugal,,,,,
Olhão,29556,37.03527119,-7.837916718,,Portugal,,,,,
Póvoa de Santa Iria,29352,38.85853846,-9.068324072,,Portugal,,,,,
Vila do Conde,29319,41.35946845,-8.7457143,,Portugal,,,,,
Vila Real,29201,41.29599772,-7.730874222,,Portugal,,,,,
Caldas da Rainha,27128,39.4113715,-9.14523862,,Portugal,,,,,
Senhora da Hora,26988,41.18529221,-8.654160245,,Portugal,,,,,
Santo Tirso,26959,41.343543,-8.474984065,,Portugal,,,,,
Gondomar,26771,41.13697147,-8.535379383,,Portugal,,,,,
Águas Santas,26632,41.21020272,-8.574357544,,Portugal,,,,,
Guarda,25833,40.54612163,-7.251780727,,Portugal,,,,,
Valongo,25736,41.19914699,-8.505380043,,Portugal,,,,,
Viseu,24072,40.66148031,-7.90817669,,Portugal,,,,,
Bragança,24041,41.80149024,-6.76829378,,Portugal,,,,,
São Mamede de Infesta,22844,41.19172487,-8.612395843,,Portugal,,,,,
Mem Martins,22769,38.78861388,-9.349285353,,Portugal,,,,,
Portimão,22692,37.13299529,-8.537421973,,Portugal,,,,,
Fânzeres,22556,41.16927547,-8.530244622,,Portugal,,,,,
Beja,22362,38.01597742,-7.86099648,,Portugal,,,,,
São João da Madeira,22143,40.89563151,-8.490365401,,Portugal,,,,,
Fernão Ferro,21748,38.57630899,-9.088101129,,Portugal,,,,,
Queluz,21633,38.75469027,-9.257545424,,Portugal,,,,,
Pinhal Novo,21384,38.62812171,-8.912881487,,Portugal,,,,,
Albufeira,21302,37.09455615,-8.244218573,,Portugal,,,,,
Espinho,21152,41.00125223,-8.635196863,,Portugal,,,,,
Baixa da Banheira,20905,38.65722064,-9.043818321,,Portugal,,,,,
Barcelos,20846,41.53387285,-8.618156917,,Portugal,,,,,
Monte Abraão,20790,38.76139564,-9.26525115,,Portugal,,,,,
Laranjeiro,20780,38.65830679,-9.147869397,,Portugal,,,,,
Cacém,20429,38.77105328,-9.309187246,,Portugal,,,,,
Alverca do Ribatejo,20353,38.89241583,-9.031348484,,Portugal,,,,,
Entroncamento,20141,39.46436556,-8.478658413,,Portugal,,,,,
Torres Vedras,19528,39.08783204,-9.253400144,,Portugal,,,,,
Cova da Piedade,19517,38.67035371,-9.159532922,,Portugal,,,,,
Lagos,19347,37.09994031,-8.678785087,,Portugal,,,,,
Vialonga,19061,38.87500628,-9.083011622,,Portugal,,,,,
Castêlo da Maia,18587,41.26759117,-8.61674858,,Portugal,,,,,
Pedroso,18409,41.07011758,-8.557570365,,Portugal,,,,,
Quinta do Conde,18285,38.56786082,-9.044725516,,Portugal,,,,,
Custóias,17935,41.20530604,-8.648355128,,Portugal,,,,,
Chaves,17722,41.74599258,-7.470757959,,Portugal,,,,,
Leça do Balio,17091,41.21267658,-8.63019223,,Portugal,,,,,
Rinchoa,16822,38.78990427,-9.318914044,,Portugal,,,,,
Abrantes,16802,39.46529807,-8.196805129,,Portugal,,,,,
Almada,16718,38.6796442,-9.161689151,,Portugal,,,,,
Ramada,16579,38.80692107,-9.190594425,,Portugal,,,,,
Vale de Milhaços,16336,38.62662836,-9.164467323,,Portugal,,,,,
Quarteira,16138,37.07050083,-8.098189098,,Portugal,,,,,
Linda-a-Velha,15978,38.71203661,-9.239758786,,Portugal,,,,,
Felgueiras,15857,41.36325404,-8.203698946,,Portugal,,,,,
Covilhã,15779,40.27582964,-7.499124506,,Portugal,,,,,
Loulé,15574,37.13687481,-8.018022763,,Portugal,,,,,
Oliveira de Azeméis,15459,40.84338386,-8.477475787,,Portugal,,,,,
Elvas,15254,38.88024247,-7.164160616,,Portugal,,,,,
Penafiel,15224,41.20869535,-8.290109474,,Portugal,,,,,
São Pedro da Cova,15197,41.14719259,-8.500651815,,Portugal,,,,,
Arcozelo,15144,41.05633089,-8.640388006,,Portugal,,,,,
Feijó,14779,38.65521753,-9.163978748,,Portugal,,,,,
Alfena,14677,41.23599519,-8.52596791,,Portugal,,,,,
Carnaxide,14501,38.72775748,-9.237165987,,Portugal,,,,,
Fafe,14268,41.44806795,-8.178682658,,Portugal,,,,,
Santa Maria da Feira,14174,40.93011294,-8.550342794,,Portugal,,,,,
Tomar,14123,39.60479799,-8.407139301,,Portugal,,,,,
Canelas,13918,41.07933094,-8.600638049,,Portugal,,,,,
Valbom,13849,41.13654601,-8.561795938,,Portugal,,,,,
Tavira,13843,37.12760994,-7.643526855,,Portugal,,,,,
Portalegre,13775,39.28137811,-7.429566563,,Portugal,,,,,
Moita,13735,38.65216195,-8.988756272,,Portugal,,,,,
São Marcos,13697,38.75279396,-9.297791168,,Portugal,,,,,
Tapada das Mercês,13573,38.798544,-9.330282097,,Portugal,,,,,
São Félix da Marinha,13560,41.03012497,-8.629189185,,Portugal,,,,,
Santarém,13335,39.2288052,-8.688620467,,Portugal,,,,,
