name,cyrillic_name,population,latitude,longitude,state,country,percentageOfSessions
Dušanbe,Душанбе,816200,38.56277,68.78579,Dušanbe,Tajikistan,
Huçand,Хуҷанд,178100,40.2851915,69.6243519,Suġd,Tajikistan,
Ķūrġonteppa,Қӯрғонтеппа,107500,37.8457668,68.7980656,Hatlon,Tajikistan,
Kūlob,Кӯлоб,103500,37.9152133,69.7835582,Hatlon,Tajikistan,
Istaravšan,Истаравшан,62500,39.9243224,69.0018493,Suġd,Tajikistan,
Histevarz,Хистеварз,57440,40.1958414,69.8173383,Suġd,Tajikistan,
Mirzo Tursunzoda,Мирзо Турсунзода,52900,38.4819577,68.7824696,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Tursunzoda,Турсунзода,52900,38.5137629,68.2320085,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Konibodom,Конибодом,51100,40.2978723,70.4285768,Suġd,Tajikistan,
Isfara,Исфара,48800,40.1207329,70.6266941,Suġd,Tajikistan,
Vaḩdat,Ваҳдат,42600,38.553375,69.0149436,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Pançakent,Панҷакент,41800,39.4947089,67.602324,Suġd,Tajikistan,
Obburdan,Оббурдан,38735,40.4254643,69.3051689,Suġd,Tajikistan,
Ġūlakandoz,Ғӯлакандоз,38302,40.1513853,69.4650651,Suġd,Tajikistan,
Isfisor,Исфисор,35447,40.2368356,69.7318905,Suġd,Tajikistan,
Ëvon,Ёвон,34800,38.3152002,69.0381408,Hatlon,Tajikistan,
Čorkūḩ,Чоркӯҳ,33261,39.9714105,70.5663612,Suġd,Tajikistan,
Būston,Бӯстон,31500,40.2289067,69.692274,Suġd,Tajikistan,
Norak,Норак,29700,38.3882785,69.3154337,Hatlon,Tajikistan,
Horuġ,Хоруғ,29500,37.4884595,71.5597609,Kūḩistoni Badahšon,Tajikistan,
Ḩisor,Ҳисор,27600,38.5284761,68.5542925,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Danġara,Данғара,27000,38.0958251,69.3393822,Hatlon,Tajikistan,
Navgilem,Навгилем,25559,40.1301278,70.6526507,Suġd,Tajikistan,
Farhor,Фархор,23700,37.4925651,69.4015209,Hatlon,Tajikistan,
Vose',Восеъ,23400,37.8060328,69.6444304,Hatlon,Tajikistan,
Nov,Нов,23226,40.1507939,69.3740589,Suġd,Tajikistan,
Somoniën,Сомониён,23100,38.4409477,68.7735364,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Moskva,Москва,23000,37.6560649,69.634687,Hatlon,Tajikistan,
Kulkand,Кулканд,20915,40.1435451,70.7004945,Suġd,Tajikistan,
Boboçon Ġafurov,Бобоҷон Ғафуров,19800,40.2162355,69.7272155,Suġd,Tajikistan,
Kurkat,Куркат,19121,40.1349622,69.2527575,Suġd,Tajikistan,
Zafarobod,Зафаробод,18600,40.1744064,68.8574226,Suġd,Tajikistan,
Unçī,Унҷӣ,18237,40.2863429,69.7145579,Suġd,Tajikistan,
Balh,Балх,18200,37.5927815,68.6596939,Hatlon,Tajikistan,
Paldorak,Палдорак,17805,40.4828412,69.3029863,Suġd,Tajikistan,
Navkat,Навкат,17800,40.150933,69.365482,Suġd,Tajikistan,
Dūstī,Дӯстӣ,17500,37.3509297,68.6761439,Hatlon,Tajikistan,
Šajdon,Шайдон,16800,40.6553673,70.3622059,Suġd,Tajikistan,
Rūmon,Рӯмон,16715,40.2970698,69.6569732,Suġd,Tajikistan,
Istiķlol,Истиқлол,16500,40.5742376,69.643452,Suġd,Tajikistan,
Guliston,Гулистон,16500,40.2630941,69.7952173,Suġd,Tajikistan,
Sarband,Сарбанд,16500,37.8736738,68.9248381,Hatlon,Tajikistan,
Šaḩrituz,Шаҳритуз,16300,37.2647416,68.1374449,Hatlon,Tajikistan,
Kūčkak,Кӯчкак,16216,40.2450457,70.3407289,Suġd,Tajikistan,
Meḩrobod,Меҳробод,15700,40.1671687,69.5070071,Suġd,Tajikistan,
Deḩķonobod,Деҳқонобод,15246,37.5933527,69.3698312,Hatlon,Tajikistan,
Adrasmon,Адрасмон,15100,40.6485478,69.9862635,Suġd,Tajikistan,
Roġun,Роғун,15000,38.6966039,69.7516118,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Mastčoḩ,Мастчоҳ,14722,40.3662119,69.3238638,Suġd,Tajikistan,
Būston,Бӯстон,14600,40.5249552,69.3378214,Suġd,Tajikistan,
Vahš,Вахш,14500,37.7131708,68.8301879,Hatlon,Tajikistan,
Ġončī,Ғончӣ,13900,39.9588429,69.1331209,Suġd,Tajikistan,
Čilgazī,Чилгазӣ,13802,40.1528149,70.7326504,Suġd,Tajikistan,
Mu'minobod,Муъминобод,13500,38.1073372,70.0276764,Hatlon,Tajikistan,
Šarora,Шарора,13200,38.4955002,68.6535557,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Abdurraḩmoni Çomī,Абдурраҳмони Ҷомӣ,13100,37.9473854,68.8075854,Hatlon,Tajikistan,
Zarzamin,Зарзамин,12933,40.2307579,69.805456,Suġd,Tajikistan,
Ërī,Ёрӣ,12454,39.5049396,67.8687462,Suġd,Tajikistan,
Bobotaġo,Боботағо,12444,39.9120077,68.9778491,Suġd,Tajikistan,
Panç,Панҷ,12200,37.2369963,69.0954645,Hatlon,Tajikistan,
Ūzbekķišlok,Ӯзбекқишлок,11817,40.1402945,69.5461539,Suġd,Tajikistan,
Sarikūj,Сарикӯй,11780,40.3113967,70.4418692,Suġd,Tajikistan,
Nū'mon Roziķ,Нӯъмон Розиқ,11700,38.5576371,68.9980349,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Boruh,Борух,11409,39.8487678,70.5751572,Suġd,Tajikistan,
Meḩnatobod,Меҳнатобод,11400,40.1942092,68.9582737,Suġd,Tajikistan,
Ķubodiën,Қубодиён,11400,37.4038399,68.1847846,Hatlon,Tajikistan,
Kadučī,Кадучӣ,11334,37.8937164,69.6262661,Hatlon,Tajikistan,
Meḩrobod,Меҳробод,11271,37.6495745,68.956193,Hatlon,Tajikistan,
Niëzbek,Ниёзбек,11190,40.2296158,70.2471566,Suġd,Tajikistan,
Çaḩonzeb,Ҷаҳонзеб,11172,40.246171,70.0659186,Suġd,Tajikistan,
Niçonī,Ниҷонӣ,10945,39.9618219,68.9218701,Suġd,Tajikistan,
Hovaling,Ховалинг,10906,38.3381881,69.9715949,Hatlon,Tajikistan,
Ḩamid Aliev,Ҳамид Алиев,10600,40.1550328,68.7474705,Suġd,Tajikistan,
Čorboġ,Чорбоғ,10518,39.8619672,69.0942387,Suġd,Tajikistan,
Fajzobod,Файзобод,10440,37.6660143,69.4946341,Hatlon,Tajikistan,
Sovet,Совет,10300,38.0504361,69.5882989,Hatlon,Tajikistan,
Tidon,Тидон,10229,39.8432983,70.5928384,Suġd,Tajikistan,
Surh,Сурх,10139,39.9984576,70.6048066,Suġd,Tajikistan,
Pūloton,Пӯлотон,10071,40.3026946,70.4399269,Suġd,Tajikistan,
Safedteppa,Сафедтеппа,9878,40.1825239,69.4194323,Suġd,Tajikistan,
Ķurbonšaḩid,Қурбоншаҳид,9851,37.7811181,69.5515785,Hatlon,Tajikistan,
Obikiik,Обикиик,9800,38.1638223,68.6742777,Hatlon,Tajikistan,
Saidķal'a,Саидқалъа,9719,40.1734587,69.372582,Suġd,Tajikistan,
Fajzobod,Файзобод,9700,38.547927,69.3177191,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Çūjbodom,Ҷӯйбодом,9628,38.5506339,68.7009251,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Majdon,Майдон,9472,39.8550606,70.5576907,Suġd,Tajikistan,
Kulangir,Кулангир,9369,40.2858147,69.6775707,Suġd,Tajikistan,
Navobod,Навобод,9200,38.5253081,68.6721137,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Gulhona,Гулхона,9159,40.1541953,69.5032801,Suġd,Tajikistan,
Basmanda,Басманда,9135,39.6926752,69.153948,Suġd,Tajikistan,
