name,population,latitude,longitude,state,country,status
Caño Tama Tama - Tama Tama Aje,0,3.150253678,-65.86255544,Amazonas,Venezuela,
Campo Alegre,0,9.803889,-64.763889,Anzoátegui,Venezuela,
Campo Dover Ë Almaca,0,9.222973,-64.051798,Anzoátegui,Venezuela,
Capuringa,0,8.278889,-63.561111,Anzoátegui,Venezuela,
El Bolsillo,0,8.07,-64.544444,Anzoátegui,Venezuela,
El Corozo de Aisme,0,8.959921,-63.893908,Anzoátegui,Venezuela,
El Milagro,0,8.940556,-63.577222,Anzoátegui,Venezuela,
El Pájaro,0,9.962222,-65.473889,Anzoátegui,Venezuela,
El Porvenir,0,9.35,-64.970556,Anzoátegui,Venezuela,
Guatacarito,0,9.813538,-64.89905,Anzoátegui,Venezuela,
La Concordia I,0,8.942689,-63.935122,Anzoátegui,Venezuela,
La Loma,0,9.633333,-64.975,Anzoátegui,Venezuela,
La Loma,0,9.583333,-64.572222,Anzoátegui,Venezuela,
La Mona,0,10.081316,-64.315701,Anzoátegui,Venezuela,
La Torta,0,9.728333,-64.641667,Anzoátegui,Venezuela,
La Victoria,0,8.629942962,-63.39831831,Anzoátegui,Venezuela,
Las Palomas,0,10.121111,-64.497222,Anzoátegui,Venezuela,
Las Torres,0,9.969655,-64.056802,Anzoátegui,Venezuela,
Loma Larga I,0,9.120556,-63.99,Anzoátegui,Venezuela,
Los Pozos,0,8.415,-62.8041,Anzoátegui,Venezuela,
Mahomote,0,9.209079,-64.893497,Anzoátegui,Venezuela,
Mamonal,0,9.541864,-64.876828,Anzoátegui,Venezuela,
Morichalote II,0,8.974642,-63.505667,Anzoátegui,Venezuela,
Pertigalete Campamento Sur,0,10.233547,-64.560151,Anzoátegui,Venezuela,
Platanal,0,9.607978,-64.332919,Anzoátegui,Venezuela,
Boca de Tía Pola I,0,7.209444,-70.829444,Apure,Venezuela,
Camoruco,0,7.482778,-67.845,Apure,Venezuela,
Caño Negro,0,6.1608,-68.6666,Apure,Venezuela,
Chaparralito,0,7.370556,-68.367778,Apure,Venezuela,
El Porvenir,0,8.017778,-69.360556,Apure,Venezuela,
Empresa de Produc. Socialista Pedro Perez Delgado,0,7.70335,-69.36721,Apure,Venezuela,
La Fundación,0,7.341667,-68.327778,Apure,Venezuela,
La Realidad,0,7.545,-69.635,Apure,Venezuela,
La Yaguita,0,6.969444,-69.340556,Apure,Venezuela,
Mapuria,0,7.035556,-68.388889,Apure,Venezuela,
Mata + Pilon,0,7.544444,-69.603889,Apure,Venezuela,
Mata de Totumo,0,7.738889,-69.010556,Apure,Venezuela,
Santa Elena,0,6.923333,-69.257778,Apure,Venezuela,
Carapita,0,9.836111,-66.646111,Aragua,Venezuela,
El Paraiso,0,10.45,-67.513889,Aragua,Venezuela,
La Esperanza,0,10.453889,-67.531111,Aragua,Venezuela,
Quita Calzón,0,9.445556,-66.975556,Aragua,Venezuela,
Turiamo (Base Militar),0,10.446111,-67.833333,Aragua,Venezuela,
Cerro Las Flores,0,8.919444,-70.477778,Barinas,Venezuela,
El Roble,0,8.301667,-69.717778,Barinas,Venezuela,
El Totumito,0,8.194444,-67.719444,Barinas,Venezuela,
La Loma,0,8.953333,-70.233333,Barinas,Venezuela,
La Puerta,0,8.469444,-70.561111,Barinas,Venezuela,
Madre Vieja (Charco Largo I),0,8.275,-69.571667,Barinas,Venezuela,
Araparita,0,4.85686,-61.81258,Bolívar,Venezuela,
Atawarkén,0,6.07501,-62.45101,Bolívar,Venezuela,
Awa' Rótói,0,5.67227,-62.36434,Bolívar,Venezuela,
Bragueta,0,6.15912,-67.06531,Bolívar,Venezuela,
